reviewer_id,liked,review_text,rating,is_spam_1,review_length
A1058D8UFZL711,66,I received the Nook Color as a Christmas present last year. I was expecting a IPAD but glad this was what I received.As a grad student a good number of my text books. had an electronic version and this made it a dream gift. The Nook saved my spine. time and GPA as it is easy to keep the Nook with you at all times. I simply pulled out my Nook on the SubwayMetro and read my assignments.This is where I felt the Nook has a great advantage over the IPAD for those who wish to carry their devices more than just on airplanes and meetings. But in the subway. on the bus. or someplace where you do not want to flash a 549 device. The Nook has covers that conceal the device in casing that appear to be a book or something else mundane.As for functionality as ereader. it has a range of books and magazines and it highlights. indexes and tabs pages with a few quick few touches.As a tablet. yes I said it. a tabletthe updated version 1.43 gives you a range of functionality. Angry Birds. Microsoft Office. Flash and I understand it has Netflix.  If it had the keyboard I would say it is perfect. A little extra tip. your Nook can be charged with your Android charger but it takes a slight bit extra time. Most of the functionality that is present on the Nook is all most users need. But Ipad has such cache that pay just need to pay the difference.Another small short coming is Amazon is a dream to work with but Barnes and Noble online is nightmare. But most issues can be troubleshot within the store and Barnes and Noble has excellent in store customer service.,4,1,1559
A105HXZN1VAS4D,33,This power strip is well constructed and looks very nice if used in an area where it cant be kept concealed. I found its appearance so appealing for a power strip that I bought another one. and will buy more as the need arises.,5,1,227
A105R38CAPDBGU,11,I love the idea of charging it in the USB port and how malleable and multifunctional it is .use as a boomkmark. freestand. etc.. My only complaint is that that are two separte lights on the head which isnt ideal for visibility .it creates two circles of light instead of a single expanse of light emitted from a single bulb..,4,1,325
A1077JEY0CE3BB,0,It is as good or better than a Kindle. but it does not have all the functionality for the PDF books.,4,1,100
A1079KKA0AXSL3,0,when i first bought this didnt think it was really gonna work.  I have a 32 inch tv though and this has been holding it for over two months and its still steady and equipped.  When you move the tv from side to side it shakes a little bit. but this is a good product for the price.  I am very pleased,4,1,299
A107WR4K28Y1QC,1921,I was sold on the reviews that I read and ordered the quick cam pro.  Upon opening the box the first thing I noticed was the lack of proper instruction material.  You have to read between the lines in the Quick  Campro users guide.  If you have anything connected to the printer port.  like a printer you will have to remove it and install the cam cable.  Which  means you cant use the printer.I would of liked to see a through  connector like what is on most scanners so a printer and scanner can be run  at the same time.  Now I have to get down on my hands and knees and change  the cable every time I want to use the printer or camera.So far the  camera does produce some great looking pictures both still and movie.,2,0,720
A1088LCAS58FXN,0,I knew this item was used. but assumed it was fully operational. It was so inexpensive. I decided to buy it because collapsible headphones with vertical ear buds are tough to get. Unfortunately. the right ear bud did not work. so I just threw it away. bought a new one. and chalked it up to experience.,1,0,302
A108H2BUNCYDIA,33,Certainly does the job  theyre not as durable as I might like. but if youre assembling a server rack or otherwise in need of a number of monitor  extension cables. you could do worse than this. I bought five and Im happy  with them  youre not paying for the Monster Cable kind of durability. I  havent seen any ghosting or other problems. even in a fairly crowded  server rack. although I can understand why the other reviewer would find  that to be a problem!,4,1,460
A108QN0VQPX1W2,0,I received these in perfect condition. They are used with a minicassette recorder. I have trouble with good sound from the cassette recorder. so I dont know if I have the correct type of cassettes or the recorder is of poor quality.,4,1,232
A108T72L8PVAKY,23,I got this about two weeks ago. and now Ive put it to a fair test. During driving. I think the so called u0026quotShock Protectionu0026quot saved it most of the time. after all. these arent the worst roads. But suffice to say.  it never skipped. So. it works great! However the car kit that came with it  only worked one time when I hit PLAY. and it only made output in the left  ear. Good thing I brought batteries! The AC Adapter is included as well and  is a nice touch. The headphones included are high quality. Finally. I  havent tried the cassette adapter. for I have no use for it when I could  have CD quality =. Why four stars then. and not five? Well. perhaps for the  poor car kit. but also for looks. Looks dont matter though. thats a silly  thing to judge. right? Go and buy it! USD50!,4,1,798
A10956KAP9F1CO,0,The skipping CD player in my 2006 car was not fixed by this product.  I may have been expecting to much.,2,0,104
A109WGT0FT4VCL,612,IT WAS THAT TIME.I HAD BEEFED UP MY RAM.VIDEO CARD UPDATED TO A NEW VERSION OF AOL.THE TIME CAME FOR A NEW MODEM.I READ UP ON SOME OF THE MODEMS BUT I HAD NO IDEA WHAT I WAS FACING WHEN I WALKED INTO THE LOCAL  COMPUTER STORE.BRANDS OF MODEMS I NEVER HEARD OF AND MY CONCERN WAS IT  GOING TO BE THE RIGHT CHOICE? 3 CLERKS GAVE ME 3 OPINIONS WHICH DIDNT  HELP.I FINALLY GOT THE CREATIVE MODEM 5630.IT BOASTED PNP.WELL THIS WASNT  THE CASE.AFTER 3 TRIES I GOT IT TO LOAD THE DRIVERS AND THE OTHER ADD ONS  WHICH WERE A PLUS.INTALLATION WAS 10 MINS TOPS. MY CONNCECTION SPEEDS WERE  INCREASED.I RARELY CONNNECT BELOW 48000BPS.DEFINITELY AN INCREASE FROM  44000.ASIDE FROM THE PLUG AND PLAY DIFFICULTY I WOULD SAY IT WAS WORTH THE  PRICE.,3,0,734
A10BSZ8SP5L1C6,77,The clips contain cables well. but the adhesive is a little weak.  I ended up having to tack the clips down with small nails to hold them in place.,3,0,147
A10CRNJHF5EMIN,33,I love these speakers.  They have a very nice low freq. response. but there is ONE problem.  It resonates at a wide range of bass frequencies. and has bad port air turbulance.  Something that should be fixed in the next model.  It is annoying when the speaker distorts though.  But still a  good system!,4,1,303
A10CY1HLD2P2Y0,23,I mostly use this in hotel rooms and its been nice having the short cable. Its flexible and the ends make a nice connection. I think with normal use this cable will last me a long time.,4,0,185
A10D6JE3EV2KUR,22,These tapes are performing very well during the process of converting old VHS to digital. They provide a good base from which I can get everything into my computer. Very cost effective!,4,0,185
A10DS2C9FZK12D,0,Just came back from Birch Run. Michigan .the reallife test site of my pair of TA280s AA model..Some 150 outlet stores scattered around the whole block. To go from one section to another. driving is often required. A pretty ideal place to use FRSs. especially your spousekids have very different preferences of stores to visit.I fullycharged a set of Maha 1550mAh NiMH AA batteries for each unit and started them off at around 10.00am. With frequent conversation. it lasted thru the day until I turned them off at around 10.00pm with 1 bar .out of 3. left at the battery indicator.I dont know the capacity of the proprietary Motorola NiMH battery for TA28x but Motorola claims 11 hours of normal usage .5%5%90%.. My 1550mAh NiMH AA setup beats this handily. Also. just imagine how much USDUSDUSD you are going to save from those disposable alkalines.I am quite pleased about the performance of my batteries as well as the FRSs so far. Highly recommended.,4,1,953
A10ELELHBVLYJJ,610,The item did not work from day one. After connecting all the wires to transmitter. speakers. and my television. nothing worked. At first one of the speakers did not come on. then I noticed that the transmitter light wasnt lite. Tried plugging it into five different outlets. It still hasnt come on.Tried contacting the seller. by phone. to no avail.Took the transmitter to a repair shop. they want to charge more than I paid for the whole set. This was a lost cause. It still doesnt work.,1,0,488
A10ESLO7OXX0YO,0,It is really nice.  It is a bit hard to get the charger connected while the case is still on.,4,0,93
A10GIA48NG0707,11,I got this alarm so that I wouldnt spend too much money. and it would be something to do on a weekend. When I got it. I was a little surprised  the sensor and speaker were one unit. It is big  there was no space for it under my 91 Honda Accord LX hood. I found a tiny dry spot under a 95 Civic hood. but installing it was a pain  there was no space to work. and could only drill two holes. it took about an hour to install it. So. installing in 10 minutes is a myth if you dont have large dry emty space under the hood.It is not very sensitive either. I have put it on the maximum sensitivity. It will go off if I slap on the hood. or close the door. It wont usually start when I open the door or turn on the engine. Maybe a Civics lights are not very powerful to create a current drain on the battery.But I like when the car talks. .o. If you save more than 50 bucks on insurance. you have covered your cost.,3,0,909
A10H764JFYKJ,1,Easy to handle. could be more convenient without having to add credit card information. Even with the security password there should be a more sufficient way than using a credit card not all people have credit cards.,3,0,216
A10I14YA0ZD07F,1717,I bought one a little while ago .206.. It does the job but seems chintzy. compared to the Sony I had before. The right hand well is noisy which is a drag since the deck is right next to me as I listenrecord. I do like that it has a pitch control .on deck 1 only. but wish it had a time counter rather than an index counter. It also has rotating heads which is just plain bad engineering. There is no need for that. I dont expect this unit to last long with rotating heads but there are so few dual well decks that record on both wells. this will have to do for now. It is also noisy as it reverses direction .heads rotating. and as it playsrecords.,3,0,648
A10IPCYAVM9XK8,12,I agree with the other reviews. the Koss Armband works as good .if not better. than the Sony one. I ask myself. why then does the Sony have to cost much more?,5,0,158
A10IPK523CLXBZ,11,I really enjoy this little radio. I can keep it in my truck without having to have a CB mounted. and I really like that. I also enjoy that I can use it as a portable .handheld. or a mobile .vehicle powered. with an external antenna.. Inside the box. you get the connector to power the unit with a 12v lighter. along with the connection for an external antenna. a battery pack for one time use batteries .6AA.. and another for rechargeable batteries .8AA. which includes a 120v charger for the rechargeable batteries.I was able to get my external magnet mount antenna tuned to some respectable numbers .under SWR of 1.5 on every channel.. and while this radio isnt the nicest out there. its perfect for what I need. For those who may be wondering. you CAN power this radio with the 12v plug and still use the provided rubber duck antenna. which is normally used when portable.Great for occasional use and offroad!,4,1,912
A10JZRQCC7IOVE,0,Am extremely pleased with the Kensington Orbit Mouse Trackball. This is the second one that I have owned and will continue to use the ball mouse when compared to the kind that moves on a mousepad.  The trackball uses less armwrist movement as well as less space to maneuver.  It sits in the same place all the time and for me it is easily controlled.,5,1,350
A10LQDTRU95IV,1,I purchased an old Dell Latitude D430 but it didnt have a hard drive. After popping it open I quickly found out why. Looked around for a local carried but there were none. I purchased this drive online via Amazon. Received it promptly from seller and installed it with no issues.Pros. The drive is quiet and uses very little battery.Cons. One note is that the drive is only 4200RPM so youll find it makes the laptop a little sluggish. I was just using it to build my Mom a cheap and portable laptop and it does the job very well. If it was faster I would have given it 5 stars.The seller was great and the drive was packaged with care.,4,1,635
A10LU4EDJ82UFQ,0,It can charge the phone while playing video.  The output quality seems to be good and produces a clean edge to edge image.I bought another mhl device a year ago. but I guess its not MHL 2.0. so it didnt work with the Galaxy S4.  If you dont buy the branded Samsung unit. Id suggest being sure you get an MHL 2.0 device. but Im not sure its worth the bother to experiment.,3,0,371
A10MAHE4M9SCK,11,No one has stolen my laptop yet. so Im not complaining!However. I havent done an overall strength test. so I dont know how effective it is.,4,1,139
A10MF6OJK61N22,0,2nd time i ordered this one . shipping much better this time. no problems. easy install. but be aware when you fold the mount flat there is a 12 inch difference between folding right or folding the mount left.,4,1,209
A10MH3OBX7DBEY,33,I was very happy with this drive. I bought it solely to transfer files  from my iMac to my NT machine. Its design complements the iMac perfectly  .and would add a splash of color to any PC.. What impressed me most was the  speed of this device. It is light years faster than any floppy drive. and  approaches nearhard drive quality. I was able to quickly drag and drop  large MP3 and Quicktime files. and get them over to my NT in seconds. Since  iMac doesnt ship with any removable media. this purchase was a nobrainer   especially considering the price.,5,1,555
A10N9KVV3DIUWD,33,Edit.  Well it has been over 7 years since I purchased and reviewed this shower radio and it finally bit the dust.  Radio still works .though lately I need to move it around a bit for best reception.and the clock is still really hard to see.  It is the volume button that is kaput. I can only get very loud and painfully loud.  Husband tried to fix it but couldnt do it.  Seven years is pretty good. I guess. I dont see anything better on Amazon. at least for this price. so I will probably purchase another of the same.  Something I did not mention in my original review.  the batteries seem to last forever.  Same number of stars for the same reasons.Original Review. This shower radio is attractive. compact and has great sound and station range. It is a 5 for the radio and a 1 for the clock. Unfortunately. the clock is very small and hard to read.  I purchased it to place on a small bathroom chest close to the sink. but could not read the digital clock from there.  If the radio is placed too high or too low. the small clock numbers are partially shadowed by the clock frame.  There is no back light which adds to the difficulty.  I had to place it on the sink vanity right next to where I stand and I still have to bend down slightly to check the time. If having great sound in a shower radio is really what matters to you. this Sony is for you.  If you really need a clock in the bathroom. this is not the one for you.,3,0,1429
A10NBGOUJOAJ4U,13,I bought my device on Amazon  new .  Tablet stopped working so I called Barnes and Noble who informed me that the device I purchased as  new  was used.  I am so disappointed in Amazon selling items as  new  when they are indeed  used .  I will be cancelling my amazon membership and returning everything I purchased from the site.  I am very upset.,1,0,348
A10NGYKJTJ1GM3,0,The Rio. for being a first generation MP3 player. is awesome. The design is well thought out. and simple. The audio quality is great at 128kbps. an in general it sounds u0026quotright.u0026quot I bought it mostly for jogging because I wanted to choose what I listen to. .Anyone who has been  interupted by commercials in a great part of their run can relate. Im  sure.. I wasnt looking for much. so this meets my expectations. Im not  much of an audiophile. so the features offered wasnt an issue. Price was.  and . . . for  32mb... Im happy.Ive only had my  Rio for three days. so I cant really comment on durability issues. My one  problem with the player is the headphone jack. It seems to be really cheap.  and so I worry about it being the first thing to fail. The software is  really cutsie. and easy to use. Being what I consider a power user. Id  rather see it simpler. and more streamlined. All in all. Im pleased with  my purchase.,4,1,941
A10NKN19P7TPWA,0,I love the nook! When I read the description and looked at the pictures I thought I was getting a green nook tablet cover. I did not. A touch misleading. however I do love my nook. Ive already bought and read 3 books and watch netflix all the time. I do wish the volume was louder.,3,0,281
A10NR1JXIFZYLC,33,Once you get through the extremely poorly written instructions. you are left with a very cool item! The sound on this in both wired and Bluetooth mode is amazing for such a little device. The quality as both a speaker and speakerphone is quite amazing. Great device just needs clearly written instructions.,4,1,306
A10OJS6YZNT0L6,8387,I purchased these speakers prior to reading the negative review and. needless to say. was prepared for the worst. I began setting them up. and was having problems getting a good signal and thought Oh well. guess this  was a waste of money. But then I realized I had the wrong AC power supply  hooked up to the transmitter .there are 3 power supplies  each specific to  the transmitter and speakers.. Once I corrected the supply problem. the  speakers worked beautifully. I use them as my surround speakers at a  distance of around 30 feet from the transmitter. Few negatives  the sound  is a little hot and tinny. even with the bass boost button on .but for 80  bucks. sounds great. and even though the speakers are capable of running on  4 D batteries each .not supplied.. the batteries will die quickly .24 hours  of use or so.. But overall. I am quite pleased and find them to be a great  deal.,4,1,897
A10ONZJPXOK6G7,22,The Amazon page gives dimensions of the package. Here are some specifics regarding the product alone.15 oz. weight. not incuding cord. measured on my kitchen scales6.5 inches. Outside diameter of circular part2 inches or a little less. Height. with nothing plugged into itThe underside of the circular part is flat with six flat rubber legspads upon which it rests. Therefore. it does not slip on my granite countertop.Problem that this product solved. My kitchen and den are separated by a granite countertop. and on the den side my easy chair is backed right up to that countertop. I wanted sockets that could be accessed from either side. for cooking appliances .in the kitchen. or for plugging in my iPad or Kindle .while using them in the den.. I cant imagine why an outlet wasnt thought of when my house was first built. I was going to call an electrician to add one. but this power strip seems to work just as well.How it solved my problem. The power strip does not budge or fall off the counter even when I am using the plugged in iPad. I could only make it slip off if I pulled it hard in a horizontal direction. The cord is long enough to reach the nearest wall outlet in the den. The price .USD40+. seemed high a first. but getting an electrician out here would have cost a lot more.,5,1,1294
A10P8UG177H2XR,0,The Palm V and Vx may have seemed totally awesome. but I never fell for the hype. The Palm V and Vx have a rechargeable lithium battery. When its day is done. theres an agonizing choice. go for a replacement one of these. have the battery replaced and risk it not working correctly. or buying something that as one user suggested could run off of easily replaceable AAA batteries. The Palm V and Vx were never cool enough to overcome that stigma for me. If you can find that the Palm VVx has an acceptable set of trade offs and opportunity cost. to quote a drop dead gorgeous economics teacher I had. then it is definitely the belle of the ball. If on hand B you are practical. and want more steak and less sizzle from your handheld. the Palm VII or Palm VIIx may be a far better option.Just alerting you to something the positive reviews may gloss over.,2,0,854
A10PIAYSZULLDX,22,Really am enjoying the new JVCCD changer.  Its easy to install and easy to use  no more changing discs in a cartridge!  The controls are easily read and the remote makes it a pleasure to do!Thanks JVC!John Scaduto,5,1,213
A10QQWAYZVX2QS,0,There is really not much you can say about a clean wipe. The product does clean fingerprints on the DVD. Im very satisfied with the product. If it had come with a small bottle of a cleaning solution it would be even better.,4,1,223
A10RFZ7WJD1Y2C,55,Although. being honest. I should admit that its my first ergonomic keyboard. but I had a chance to use all kinds of other regular keyboards for more that 14 years of my computerrelated experience. You must know that this keyboard appears to be highly reliable .so far.. its not light. it does have a very convenient key layout and a good key action. Its not noisy. not too easy or too hard to press. And yes. it does look cool. I never had an  ergo keyboard before. because I dont believe in lowquality and overpriced MS products. Also. Logitech keyboards and too expensive and I never liked black keybaords. which Logitech somehow prefers to offer.Belkin products usually offer a great value and reasonable quality .often their quality is higherthanaverage.. and this keyboard is no exception. It comes with a PS2 to AT adapter .USD58 value.. which is necessary for users of older desktop systems or for those who use older types of keyboard extension cables.Everyone in my household now wants one like mine. so I will probably order three more ErgoBoards. Also the Pro version should be considered by those who want a USB hub.,5,1,1128
A10S6IE4Y4AGBZ,0,Product did not work i was happy to get the wire to connec  my kindle to the tv!!!!!!! WHAT A LET DOWN !!!!!!,1,0,109
A10S9NK38WEQ65,0,Very concerned over hanging a 46  tv on the wall.  Got this mount due to low price.  Very impressed.  No doubt it will handle a 30 TV.  Allows full 90 degree rotation with 21  from wall to centerline at maximum extension.,4,1,221
A10SMIP52Q1W9W,0,I bought three of these mice to use at my store since the POS systems work on an old version of Microsoft. We have tried the optical mice but the jump all over the screens and we need to be precise where we get the cursor to go. I searched and found this PS2 Mouse. bought 3 for the store and the first day they already stopped working! I have to open them up 45 times a day to move the sensors and get them to move all over the screen. Right now. they will move right to left. but not up and down. Bad purchase and waste of money!,1,0,531
A10SN9DRYMG5QQ,0,It serves it function of storing the cell phone information.I have not put it to the true test yet.,4,0,99
A10SRJNBFF2BGY,0,My hubby and I bought this Wet Cleaner. due to the fact that we still have VCRs at home. Needed this cleaner to keep the heads clean after much usage. We liked it. but eventually. we will have to join the 21st Century and start getting DVRs  since it is impossible to but new .old. VCRs. It did the job. but this product can not be used all the time!,4,1,350
A10T43ROKRQALT,3333,Just bought the 330 and had no problems with Matrix or BugsLife.  Outstanding value  one catch.  You may get a Netflixpromotional insert in with the warranty card.  Dont stop there  go to Sonys website and printout the free movie coupon .5 free  15 free rentals..  You can get both the Netflix promo and free movierental promo together!,5,1,336
A10U6FYPG5DU09,1,It works. Cant cry about anything for that price. Its a cable and it works. what else can I say about it?,4,1,105
A10U7RTA51JJR,23,I think these Memorex CDR disks are excellent. They are at a good price and work very well on my Pacific Digital CdBurner,5,0,121
A10UOP8HQMY7GX,11,Okay this is definitely a cheap way to get a new computer but there are hidden expenses if you dont do any research. First off you really want to buy the USD50 SD preprogrammed card so that you have access to other apps that are not available in this product in its original form. Once that is done you have a great computer that meets most of your simple computer needs. Dont throw out your old computer though.I had this tablet less than a year when I discovered a fairly well hidden issue. It has an irreplaceable battery. Stupid I was that I didnt see this as an issue when doing my research. I have learned a lot in a year. I will buy a cheap tablet next time and throw it away when it becomes obsolete in less than a year. At 320 bucks this was not a cheap tablet. My friend just bought one for 69 bucks and it does everything mine does.,2,0,843
A10UW8DCREFXL0,0,The Nook Color eBook is very easy to read with the facility to enlarge the print and the good backlight.  Its small enough to carry in a purse and has very adequate battery life.  The only drawback is that I am unable to download Bu0026N books or apps outside of North America.  If Id known that I would not have purchased it.  I live in New Zealand.,3,0,350
A10UYMZK2NL52,0,I have learned that not all people sell the crack and peel type labels. so be careful to ask questions.  The labels are hard to peel once printed.,3,0,146
A10VA0KMZWDYS2,0,Lil complicated to put together but over all works. looks and feels great. Extends really far away from the wall,4,1,112
A10VE1GY2DIMOZ,0,I have used this product on multiple devices and some of them dont seem to hold together as well as others.,3,0,107
A10VFPVJMRF585,44,When I bought this headset I was prepared to be disappointed and prepared to accept it based on the low price.  I already had a VTech cordless phone so I went ahead.  I have been pleasantly suprised and pleased with this headset.  It works fine and fits my ears as it does my wifes.  I got it for her initially as she wanted to be able to talk on the phone whilst doing other things.  I now use it too and Ill probably get one for work.,4,1,436
A10X9ME6R66JDX,3233,I needed an external CDRWDVD drive for my Toshiba NB205.The Acer Aspire One USB External DVDCDRW CD Burner suits my need perfectly. For my purposes. a drive has to read and write disks reliably and quietly thats it. I dont need it to be especially fast or to look pretty. Fortunately. for me this external drive is quiet. unobtrusive. and reliable.It has one eccentricity that Ive found. It comes with two USB cables  one for data. one for power  and so you might find yourself in the position of connecting two USB cables from your laptop to this device. I do think its weird. Ive never seen this before.Ive had no technical problems of any kind with this device. I am thoroughly satisfied.,4,1,691
A10XHD1A77CTN,0,I think other reviews said it did not have a cable but it comes with a cable .not a removable cable either. and I plugged it in and it came up as drive A. and just worked on the 3 or 4 floppies I tried it with. took data off of and then erased.  I have a whole bunch more to do that with.I would have given it 5 stars if I had done worked with all the other floppies because then Id know more about its longevity but I have not had the time.,4,1,441
A10Z23JLBY8AEM,0,This is the first mouse I bought after I bought a computer.  Its price is very affordable. and it performs very well.  It is a very straight forward mouse. yet has some nice features like programmable mouse button and adjustable sample rate for PS2.  What it doesnt have are the fourthfifth  thumb buttons.  but if you havent tried it. you wont miss it.  Buy it if  youre looking for a really good mouse thats not complicated. but if  youre looking for the best mouse on the block. get the Intellimouse from  MS.,4,1,512
A10ZA4JE3XITIM,11,Didnt work and caused static in the existing phone line.  I bought this to get my dish network box connected to a phone line.  Needless to say I am still paying the monthly service fee and now have a useless piece of junk in my closet.,1,0,235
A10ZD3YPQ38JQC,0,The price speaks for its functions. I bought a kindle a week after puchasing this one. But the quality was still good.,2,0,118
A110O89E8N4JIF,12,Although the nook color offers the ability to browse the internet. watch streaming video .netflix.. and play games. in the end it is really just an eReader.  The video is very choppy for watching streaming video.  No one likes watching a netflix movie with a bunch of squares on the screen.  Barnes and Noble has its own OS. therefore many of the games that are free in the android market cost on the nook color .specifically angry birds..In the end. if you want this to play some games .free or those you are willing to play. this would be okay.  Especially since you can add an Micro SD card to expand the memory available.  But. if you want to get this for someone who will watch netflix on it...or use it for really anything other than an eReader. I would think twice about not just getting a tablet.  The cost isnt that much and the reward is great.  Plus. tablets can read eBooks just as well.,2,0,899
A111VR0F3ZVYHO,1,The difference between the product I received .47  and what the product is listed here on Amazon .50  .12 . isnt that big of a difference.  However. if someone is looking for a tape to match what they currently have .12 . your labels will not be the same.However. truth in advertising???  This product was identified as 12  ..50. and the description clearly states 12 ,4,1,368
